job_titles,company_locations,company_names,job_skills,job_types,time
Data Analyst,"New Cairo, Cairo, Egypt",ITCan -,Full TimeExperienced · 3 - 5 Yrs of Exp · Analyst/Research · BI · Analysis · analytical · Computer Science · Data Analysis · Development · Engineering · Information Technology (IT) · Power BI,Full Time,8 days ago
Data Analyst,"Sheraton, Cairo, Egypt",London International Patient Services -,Full TimeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Customer Support · XML · Software Development · Computer Skills · English · Support Desk · Technical Support,Full Time,8 days ago
Data Analyst,"Dokki, Giza, Egypt",Safa International Travel -,Full TimeExperienced · 3 - 5 Yrs of Exp · Business Development · Analyst/Research · Analyze · Analysis · BI · business · Computer Science · Data · Data Analysis · Database,Full Time,8 days ago
Senior Data Analyst,"Smart Village, Giza, Egypt",Fawry for Banking Technology and Electronic Payments S.A.E -,Full TimeExperienced · 2 - 5 Yrs of Exp · Business Development · Analyst/Research · Analysis · analytical · Analyst · Business Intelligence · business · Data · Data Analysis · Information Technology (IT),Full Time,8 days ago
Data Analyst,"Maadi, Cairo, Egypt",AL-Matar -,Full TimeEntry Level · 2 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Tourism/Travel · Administration · Data Entry · MS Office · Travel · Writing · Microsoft Office · English,Full Time,7 days ago
Electronic Data Interchange (EDI) Analyst (Fluent English Speakers Only),"Cairo, Egypt",FlairsTech -,Full TimeExperienced · 1 - 3 Yrs of Exp · IT/Software Development · Computer Science · Customer Service · Information Technology (IT) · Oracle · SSIS · SSRS · SQL · Electronic Data Interchange (EDI),Full Time,8 days ago
Medical Data Analyst-Private Hospital Background,"New Cairo, Cairo, Egypt",Confidential -,Full TimeExperienced · 3 - 5 Yrs of Exp · Medical/Healthcare · Total Quality Management · Private Hospitals · GAHAR · jci · Accreditations,Full Time,2 hours ago
Data Analyst,"Katameya, Cairo, Egypt",Othaim -,Full TimeExperienced · 3 - 15 Yrs of Exp · IT/Software Development · Analyst/Research · Computer Science · Information Technology (IT) · Data Analysis · Analyst,Full Time,8 days ago
Data Analyst,"Heliopolis, Cairo, Egypt",Confidential -,Full TimeExperienced · 2 - 6 Yrs of Exp · Business Development · Analyst/Research · analytical · Analyst · Data · Data Analyst,Full Time,8 days ago
Data Analyst,"Zamalek, Cairo, Egypt",Al Ahly capital holding - Al Ahly Tamkeen -,Full TimeExperienced · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · BI · Computer Science · Data · analytical · Information Technology (IT) · Reporting,Full Time,8 days ago
Software Business Analyst,"Dokki, Giza, Egypt",WSC -,Full TimeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Data · Software · Communication skills · IT,Full Time,8 days ago
Data Analyst,"Maadi, Cairo, Egypt",Hands of Hope Physical Therapy & Wellness -,Full TimeExperienced · 3 - 5 Yrs of Exp · R&D/Science · IT/Software Development · Analyst/Research · Analysis · Analyst · Data · Data Analysis · Data Analyst · Information Technology (IT) · Tableau,Full Time,8 days ago
Market Research Analyst,"Maadi, Cairo, Egypt",Gap Polymers  -,Full TimeExperienced · 1 - 3 Yrs of Exp · Marketing/PR/Advertising · Analyst/Research · E-Marketing · Data Collection · Market Research · Marketing · Research · Statistics · Economics · online survey,Full Time,8 days ago
Data Analyst,"Cairo, Egypt",Natcom -,Full TimeExperienced · 2 - 6 Yrs of Exp · Sales/Retail · Sales · Retail · Retail Sales · Retail Business,Full Time,8 days ago
Financial Analyst - Innoventures,"Heliopolis, Cairo, Egypt",Cultiv -,Full TimeExperienced · 2 - 5 Yrs of Exp · Accounting/Finance · Analyst/Research · Financial Analysis · Finance · Accounting · Analysis · Financial · Economics · Excel · Computer Skills,Full Time,8 days ago
